name,percentage,role,author
Agnes_Laurentina,0.354372,heiress,female
Annette,1.060896,unmoneyed,female
Count_Montoni,2.885097,"moneyed, suitor",female
Count_Morano,0.309059,suitor,female
Emily,31.001435,"heiress, ward",female
Madame_Montoni,1.385676,"guardian, moneyed",female
St_Aubert,0.00185,father,female
Valancourt,2.19041,"unmoneyed, suitor",female
