year,Actors,Benefactors
1748,0.35179774610935505,0.571189062352029
1749,1.8324276340571002,1.2252622927933035
1751,3.8247785,2.4075655
1752,7.196335,5.620566
1764,2.475966,1.9202810000000001
1782,1.803607,1.737484
1785,2.89406498093939,
1788,4.901754,3.249421
1793,0.512323,0.099124
1794,15.6779035,6.953204500000001
1796,3.0575759999999996,2.401557
1798,8.267329,2.971918
1800,1.4237259999999998,1.3660995
1812,1.7615695,1.1987635
1815,7.8848885,3.167631
1817,19.791092000000006,9.074176
1846,6.441943,3.206762
1847,1.1306854999999998,1.1306854999999998
1849,4.660552,3.6145110000000003
1853,0.772237,0.545722
1860,3.789475,3.814314
1861,0.379,0.698
1863,21.589551999999998,13.546832
1864,40.507257,6.327442
1865,1.414944,1.280766
1871,5.653874,2.999205
