name,percentage,role,author
Ann-Jane-Eliza_Hollybourn,0.512323,heiress,female
Dr_Hollybourn,1.7831439999999998,unmoneyed,female
Isabella_Somerive,0.46663699999999997,unmoneyed,female
Monimia,1.7800169999999997,"unmoneyed, ward",female
Mr_Somerive,5.575138,"heir, father",female
Mr_Stockton,0.8346469999999999,moneyed,female
Mr_Woodford,1.4486219999999999,moneyed,female
Mrs_Catharine,0.000101,heiress,female
Mrs_Rayland,6.451532,heiress,female
Mrs_Somerive,1.557037,unmoneyed,female
Orlando_Somerive,4.7347470000000005,"heir, ward",female
Selina,0.35670999999999997,unmoneyed,female
Sir_John,1.562684,"moneyed, suitor",female
