name,percentage,role,author
Ann-Jane-Eliza_Hollybourn,0.099124,heiress,female
Dr_Hollybourn,0.8998780000000001,unmoneyed,female
Isabella_Somerive,0.407184,unmoneyed,female
Monimia,1.442083,"unmoneyed, ward",female
Mr_Somerive,3.027559,"heir, father",female
Mr_Stockton,0.6492979999999999,moneyed,female
Mr_Woodford,1.000817,moneyed,female
Mrs_Barbara,0.002016,,female
Mrs_Catharine,0.001008,heiress,female
Mrs_Rayland,4.647521,heiress,female
Mrs_Somerive,0.8613569999999999,unmoneyed,female
Orlando_Somerive,2.619568,"heir, ward",female
Selina,0.338513,unmoneyed,female
Sir_John,1.3421530000000002,"moneyed, suitor",female
