name,percentage,role,author
Emma,15.091268,heiress,female
George_Knightley,5.138228,"heir, suitor",female
Harriet_Smith,5.342126,unmoneyed,female
Henry_Woodhouse,3.415133,"moneyed, father",female
Jane,4.549746,unmoneyed,female
Mrs_Elton,0.678509,heiress,female
Phillip_Elton,4.998949,unmoneyed,female
