name,percentage,role,author
Camilla,7.291725,"heiress, ward",female
Eugenia,3.0575759999999996,"heiress, ward",female
Indiana,0.973441,"heiress, ward",female
Mrs_Tyrold,0.748948,unmoneyed,female
Mrs_Arlbery,4.64591,moneyed,female
Lavinia,0.41905299999999995,unmoneyed,female
Edgar,4.557648,"suitor, ward",female
Mr_Tyrold,2.626627,"guardian, unmoneyed",female
Sir_Hugh_Tyrold,15.266775,"guardian, moneyed",female
Sir_Sedley,2.797396,"suitor, moneyed",female
Bellamy,0.39014,"unmoneyed, suitor",female
Jacob,0.224237,unmoneyed,female
Dr_Marchmont,0.9784290000000001,unmoneyed,female
Lionel,0.931868,unmoneyed,female
Clermont,0.559761,"ward, suitor",female
