name,percentage,role,author
Cecilia,16.997111,"heiress, ward",female
Henrietta,0.99777,unmoneyed,female
Honoria,1.803607,heiress,female
Margaret,1.420384,heiress,female
Augusta,1.944564,moneyed,female
Mortimer,5.079347,"heir,suitor",female
Mr_Harrel,6.272271,"guardian, moneyed",female
Mrs_Harel,3.272008,moneyed,female
Monckton,7.794606,,female
Briggs,0.607467,guardian,female
Albany,0.412058,unmoneyed,female
Mr_Delvile,0.910492,guardian,female
