decade,Actors,Benefactors
1740,0.9579779128503481,0.6785422323943036
1750,3.8247785,2.4075655
1760,2.475966,1.9202810000000001
1780,2.348835990469695,1.737484
1790,3.0575759999999996,2.401557
1800,1.4237259999999998,1.3660995
1810,2.883047,1.797882
1840,3.9953335,2.844429
1850,0.772237,0.545722
1860,3.789475,3.814314
1870,5.653874,2.999205
