name,percentage,role,author
Celia_Brooke,0.159352,ward,female
Dorothea,3.13665,"heiress, ward",female
Godwin_Lydgate,2.395114,,female
James_Chettam,1.35942,,female
Joshua_Rigg,0.45834600000000003,,female
Mary_Garth,0.6799890000000001,unmoneyed,female
Mr_Brooke,2.0226740000000003,guardian,female
Mr_Casaubon,3.5464660000000006,moneyed,female
Rosamond,1.219964,,female
Tertius_Lydgate,0.09371499999999999,,female
Will_Ladislaw,1.495717,,female
Fred_Vincy,1.9969999999999999,"unmoneyed, heir",female
Mr_Featherstone,0.679,moneyed,female
