name,percentage,role,author,novel,year,decade,century,genre
Hebbers,0.03254,"unmoneyed,suitor",female,Amelia,1751,1750,1700,courtship
Captain_Booth,5.375038,"unmoneyed,suitor",female,Amelia,1751,1750,1700,courtship
Allan_Woodcourt,1.298596,"unmoneyed,suitor",male,BleakHouse,1853,1850,1800,realism
Ester_Summerson,0.640183,"unmoneyed,ward",male,BleakHouse,1853,1850,1800,realism
Lavinia,0.022515,unmoneyed,female,Camilla,1796,1790,1700,courtship
Lionel,0.424459,unmoneyed,female,Camilla,1796,1790,1700,courtship
Marchmont,0.422156,unmoneyed,female,Camilla,1796,1790,1700,courtship
Jacob,0.134322,unmoneyed,female,Camilla,1796,1790,1700,courtship
Bellamy,0.29359,"unmoneyed,suitor",female,Camilla,1796,1790,1700,courtship
Mr_Tyrold,1.369705,"guardian,unmoneyed",female,Camilla,1796,1790,1700,courtship
Mrs_Tyrold,0.3633106,unmoneyed,female,Camilla,1796,1790,1700,courtship
Thady_M'Quirk,2.82686,unmoneyed,female,CastleRackrent,1800,1800,1800,realism
Judy_M'Quirk,0.61098,unmoneyed,female,CastleRackrent,1800,1800,1800,realism
Albany,0.30148800000000003,unmoneyed,female,Cecilia,1782,1780,1700,courtship
Henrietta,0.546979,unmoneyed,female,Cecilia,1782,1780,1700,courtship
Emma_Vine,0.778505,unmoneyed,male,Demos,1886,1880,1800,realism
Phillip_Elton,3.829018,unmoneyed,female,Emma,1815,1810,1800,courtship
Harriet_Smith,3.166062,unmoneyed,female,Emma,1815,1810,1800,courtship
Jane,3.416122,unmoneyed,female,Emma,1815,1810,1800,courtship
Mr_Maloney,0.034812,unmoneyed,female,Emmeline,1788,1780,1700,gothic
Mrs_Joe,0.218013,unmoneyed,male,GreatExpectations,1861,1860,1800,realism
Molly,0.009407,unmoneyed,male,GreatExpectations,1861,1860,1800,realism
Joe_Gargery,2.156339,unmoneyed,male,GreatExpectations,1861,1860,1800,realism
Biddy,0.4731,unmoneyed,male,GreatExpectations,1861,1860,1800,realism
George_Hotspur,8.536032,"heir,suitor,unmoneyed",male,HarryHotspur,1871,1870,1800,realism
Alice_Fairfax,1.455,unmoneyed,female,JaneEyre,1847,1840,1800,gothic
Adele,0.743885,"unmoneyed, ward",female,JaneEyre,1847,1840,1800,gothic
Camilla_Spondi,0.012528,unmoneyed,male,LadyAnna,1863,1860,1800,realism
Daniel_Thwaite,4.640153,"unmoneyed,suitor",male,LadyAnna,1863,1860,1800,realism
Madame_de_la_Rougierre,1.3466360000000002,unmoneyed,male,LeFanu_Uncle_Silas,1864,1860,1800,gothic
Silas_Ruthyn,1.245204,"unmoneyed,guardian",male,LeFanu_Uncle_Silas,1864,1860,1800,gothic
Jemima,1.231383,unmoneyed,female,Maria,1798,1790,1700,courtship
Mary_Garth,0.6799890000000001,unmoneyed,female,Middlemarch,1871,1870,1800,realism
Fred_Vincy,1.997,"unmoneyed,heir",female,Middlemarch,1871,1870,1800,realism
Lizzie,0.238309,unmoneyed,male,OurMutualFriend,1865,1860,1800,realism
Mr_Wilfer,0.8685719999999999,unmoneyed,male,OurMutualFriend,1865,1860,1800,realism
Charley_Hexam,0.000713,unmoneyed,male,OurMutualFriend,1865,1860,1800,realism
Jenny_Wren,0.532203,unmoneyed,male,OurMutualFriend,1865,1860,1800,realism
Bella,1.280766,"heiress,unmoneyed",male,OurMutualFriend,1865,1860,1800,realism
Miss_Williams,0.330928388289309,unmoneyed,male,RoderickRandom,1748,1740,1700,picaresque
Thomas_Bowling,0.207992087181304,unmoneyed,male,RoderickRandom,1748,1740,1700,picaresque
Uncle,0.485256412504779,unmoneyed,male,RoderickRandom,1748,1740,1700,picaresque
Juliana,0.069473,unmoneyed,female,TheAbsentee,1812,1810,1800,realism
Nicholas_Garraghty,0.306665,unmoneyed,female,TheAbsentee,1812,1810,1800,realism
Valancourt,1.372146,"unmoneyed,suitor",female,TheMysteriesofUdolpho,1794,1790,1700,gothic
Annette,0.44388,unmoneyed,female,TheMysteriesofUdolpho,1794,1790,1700,gothic
Anne_Catherick,1.0670110000000002,unmoneyed,male,TheWomaninWhite,1860,1860,1800,gothic
Marian_Halcombe,2.290895,"unmoneyed,ward",male,TheWomaninWhite,1860,1860,1800,gothic
Walter_Hartright,1.156039,"unmoneyed,suitor",male,TheWomaninWhite,1860,1860,1800,gothic
Miss_Glanville,1.49878,unmoneyed,female,TheFemaleQuixote,1752,1750,1700,courtship
Lucy,0.80715,unmoneyed,female,TheFemaleQuixote,1752,1750,1700,courtship
Isabella_Somerive,0.407184,unmoneyed,female,TheOldManorHouse,1793,1790,1700,gothic
Dr_Hollybourn,0.8998780000000001,unmoneyed,female,TheOldManorHouse,1793,1790,1700,gothic
Mrs_Somerive,0.8613569999999999,unmoneyed,female,TheOldManorHouse,1793,1790,1700,gothic
Selina,0.338513,unmoneyed,female,TheOldManorHouse,1793,1790,1700,gothic
Monimia,1.442083,"unmoneyed,ward",female,TheOldManorHouse,1793,1790,1700,gothic
Mrs_Miller,0.525507529640469,unmoneyed,male,TomJones,1749,1740,1700,picaresque
Mr_Fitzpatrick,0.620072543746197,unmoneyed,male,TomJones,1749,1740,1700,picaresque
Mr_Partridge,2.18474157936744,unmoneyed,male,TomJones,1749,1740,1700,picaresque
Molly_Seagrim,0.422908440520187,unmoneyed,male,TomJones,1749,1740,1700,picaresque
