name,percentage,role,author
Amabel_Edmonstone,1.7365439999999999,,female
Amy_Edmonstone,3.390636,,female
Charles_Edmonstone,3.581034,heir,female
Guy_Morville,13.120198,"heir, suitor",female
Laura_Edmonstone,4.1056029999999994,,female
Mrs_Edmonstone,4.092282,,female
Philip_Morville,5.26728,"heir, suitor",female
