name,percentage,role,author
Bridget_Allworthy,0.7567835251413871,heiress,male
Molly_Seagrim,0.422908440520187,unmoneyed,male
Mr_Allworthy,3.72715227601394,moneyed,male
Mr_Blifil,1.1789017287748997,"heir, suitor",male
Mr_Fitzpatrick,0.620072543746197,unmoneyed,male
Mr_Partridge,2.18474157936744,unmoneyed,male
Mrs_Fitzpatrick,0.304504613666357,moneyed,male
Mrs_Miller,0.525507529640469,unmoneyed,male
Sophia_Western,1.6937410604452199,heiress,male
Tom_Jones,7.165472969947291,"heir, suitor, ward",male
