name,num
destiny me,3
castle Matilda,3
rest I,3
Lady Hippolita,3
stranger nobody,3
Princes Lady,3
Lord child,3
state Isabella,3
Lady despond,3
answerest point,3
gestures terror,3
Lord wench,3
circumstances Manfred,3
Lord Theodore,3
Princess altar,3
Prince satisfaction,3
Prince Friars,3
Lord claim,3
domestics Knight,3
Prince earnestness,3
earnestness brother,3
Sirs Knight,3
ancestors honor,3
Sirs sanctuary,3
distance galantry,3
domestics domestics,3
estate coast,3
coast captain,3
wedding,3
neighbors,3
precipitation,3
sense,3
populace,3
opinion,3
espousals,3
courtyard,3
shrieks,3
information,3
mountain,3
meditation,3
direction,3
Ladies,3
lips,3
marble,3
trance,3
nuptials,3
disproportion,3
absence,3
resolution,3
disorder,3
reception,3
maidens,3
light,3
beauties,3
offspring,3
sons,3
height,3
windows,3
back,3
grave,3
The,3
injury,3
sacredness,3
lamp,3
Saint,3
despair,3
kind,3
gleam,3
building,3
victim,3
ruin,3
key,3
method,3
pavement,3
Providence,3
fall,3
reflection,3
comrade,3
trembling,3
myself,3
bosom,3
interview,3
sacrifice,3
submission,3
jet,3
gaze,3
sighing,3
vocation,3
solitude,3
Mary,3
spirit,3
self,3
maid,3
levels,3
audience,3
conversation,3
families,3
divisions,3
felicity,3
color,3
amors,3
ties,3
persons,3
gentleness,3
world,3
design,3
pangs,3
rank,3
conduct,3
censures,3
griefs,3
comfort,3
lineage,3
well,3
coolness,3
intrigue,3
language,3
falsehood,3
hazard,3
sincerity,3
knees,3
indignation,3
emotions,3
prayers,3
mark,3
inflexibility,3
criminal,3
trumpet,3
opposition,3
journey,3
repugnance,3
celebration,3
senses,3
greatness,3
wishes,3
intercession,3
feel,3
speech,3
tender,3
pretensions,3
flood,3
magnitude,3
shade,3
vanity,3
dregs,3
convents,3
train,3
writing,3
melancholy,3
MANFRED,3
obedience,3
embrace,3
good,3
reflections,3
converse,3
zeal,3
messengers,3
right,3
reply,3
compassion,3
course,3
labyrinth,3
shore,3
hearts,3
abode,3
travelers,3
refuge,3
generosity,3
excuses,3
prey,3
She,3
Martelli,3
hint,3
depravity,3
others,3
Said,3
improbability,3
tardiness,3
Profane,3
awe,3
mistress situation,2
mistress mistress,2
mistress parent,2
Princess thoughts,2
