name,percentage,role,author
Austin_Ruthyn,0.125865,moneyed,male
Maud,6.327442,"heiress, ward",male
Monica_Knollys,2.749469,moneyed,male
Silas_Ruthyn,1.245204,"unmoneyed, guardian",male
Dudley_Ruthyn,0.953,,male
Millicent_Ruthyn,0.953,,male
Madame_de_la_Rougierre,1.3466360000000002,unmoneyed,male
