decade,Wards,Guardians
1740,0.4380811414661861,
1750,14.190148,7.065024
1780,16.997111,3.5913815
1790,4.557648,2.626627
1840,4.886029000000001,5.731
1850,9.061248,2.207114
1860,3.6222965,1.1502865
1870,3.547897,3.742405
