decade,Heiresses,Suitors
1740,0.9579779128503481,5.831355546014173
1750,3.8247785,6.502532
1760,2.475966,3.466353
1780,2.348835990469695,5.5485125
1790,3.0575759999999996,2.0360475
1800,1.4237259999999998,
1810,2.883047,14.657219000000001
1840,3.9953335,4.572248
1850,0.772237,5.26728
1860,3.789475,2.7758915
1870,5.653874,10.128188
