name,percentage,role,author,novel,year,decade,century,genre
Miss_Matthews,3.387565,heiress,female,Amelia,1751,1750,1700,courtship
Amelia,4.261992,heiress,female,Amelia,1751,1750,1700,courtship
Ada_Clare,0.772237,"heiress,ward",male,BleakHouse,1853,1850,1800,realism
Camilla,7.291725,"heiress,ward",female,Camilla,1796,1790,1700,courtship
Eugenia,3.057576,"heiress,ward",female,Camilla,1796,1790,1700,courtship
Indiana,0.973441,"heiress,ward",female,Camilla,1796,1790,1700,courtship
Lady_Rackrent,2.800126,heiress,female,CastleRackrent,1800,1800,1800,realism
Isabella,0.047326,heiress,female,CastleRackrent,1800,1800,1800,realism
Cecilia,16.997111,"heiress,ward",female,Cecilia,1782,1780,1700,courtship
Honoria,1.803607,heiress,female,Cecilia,1782,1780,1700,courtship
Margaret,1.420384,heiress,female,Cecilia,1782,1780,1700,courtship
Mrs_Elton,0.678509,heiress,female,Emma,1815,1810,1800,courtship
Emma,15.091268,heiress,female,Emma,1815,1810,1800,courtship
Emmeline,9.797508,heiress,female,Emmeline,1788,1780,1700,gothic
Estella,0.379,heiress,male,GreatExpectations,1861,1860,1800,realism
Emily_Hotspur,4.52235,heiress,male,HarryHotspur,1871,1870,1800,realism
Agnes_Maynard,8.400989,"heiress,ward",female,InheritanceOfEvil,1849,1840,1800,gothic
Elizabeth_Maynard,3.330115,"heiress,ward",female,InheritanceOfEvil,1849,1840,1800,gothic
Mary_Clayton,4.660552,heiress,female,InheritanceOfEvil,1849,1840,1800,gothic
Blanche_Ingram,1.7628009999999998,heiress,female,JaneEyre,1847,1840,1800,gothic
Bertha,0.025596,heiress,female,JaneEyre,1847,1840,1800,gothic
Lady_Anna,21.589552,heiress,male,LadyAnna,1863,1860,1800,realism
Lucretia,6.441943,"heiress,ward",male,Lucretia,1846,1840,1800,gothic
Maria,8.267329,heiress,female,Maria,1798,1790,1700,courtship
Dorothea,6.785398,"heiress,ward",female,Middlemarch,1871,1870,1800,realism
Eliza_Wildman,2.89406498093939,heiress,male,ModernTimes,1785,1780,1700,picaresque
Catherine,19.791092000000006,heiress,female,NorthangerAbbey,1817,1810,1800,gothic
Bella,1.414944,"heiress,unmoneyed",male,OurMutualFriend,1865,1860,1800,realism
Narcissa,0.4380811414661861,"heiress,ward",male,RoderickRandom,1748,1740,1700,picaresque
Laura_Fairlie,3.789475,"heiress,ward",male,TheWomaninWhite,1860,1860,1800,gothic
Miss_Broadhurst,0.640092,heiress,female,TheAbsentee,1812,1810,1800,realism
Lady_Clonbrony,2.883047,heiress,female,TheAbsentee,1812,1810,1800,realism
Matilda,2.475966,heiress,male,TheCastleofOtranto,1764,1760,1700,gothic
Lady_Arabella,14.190148,"heiress,ward",female,TheFemaleQuixote,1752,1750,1700,courtship
Mrs_Rayland,6.451532,heiress,female,TheOldManorHouse,1793,1790,1700,gothic
Mrs_Catharine,0.000101,heiress,female,TheOldManorHouse,1793,1790,1700,gothic
Ann-Jane-Eliza_Hollybourn,0.512323,heiress,female,TheOldManorHouse,1793,1790,1700,gothic
Agnes_Laurentina,0.354372,heiress,female,The Mysteries of Udolpho,1794,1790,1700,gothic
Emily,31.001435,"heiress, ward",female,The Mysteries of Udolpho,1794,1790,1700,gothic
Sophia_Western,2.18698058387969,heiress,male,TomJones,1749,1740,1700,picaresque
Bridget_Allworthy,1.47787468423451,heiress,male,TomJones,1749,1740,1700,picaresque
