name,percentage,role,author
Emmeline,6.391842,heiress,female
Lady_Adelina,2.04947,moneyed,female
Lady_Montreville,0.411033,moneyed,female
Lord_Fitz-Edward,5.002658,moneyed,female
Lord_Montreville,4.226038,guardian,female
Mr_Delamere,4.61264,"suitor, heir",female
Mr_Maloney,0.034812,unmoneyed,female
Mrs_Stafford,3.4680239999999998,moneyed,female
Mrs_Carey,0.2055,,female
Captain_Godolphin,2.299,,female
Miss_Otley,0.107,heiress,femalefemale
Augusta_Delamere,0.1657,,female
