century,Heiresses,Heirs,Suitors,Unmoneyed,Moneyed
1700,2.89406498093939,4.7347470000000005,2.797396,0.931868,2.8412465
1800,3.1065810000000003,4.0424905,5.2027540000000005,1.501422,3.744825
