genre,Heiresses,Heirs,Suitors,Unmoneyed,Moneyed
courtship,3.8247785,5.138228,5.079347,0.99777,3.415133
gothic,3.789475,3.466353,2.885097,1.378456,2.885097
picaresque,1.8324276340571002,1.85415914844073,1.85415914844073,0.346821483113583,2.1836557080187373
realism,2.107535,4.0424905,5.4359535,1.414944,2.893218
