century,Heiresses,Heirs,Suitors,Unmoneyed,Moneyed
1700,2.89406498093939,5.079347,2.8412465,0.931868,2.8412465
1800,3.5597950000000003,4.2860000000000005,5.2027540000000005,1.501422,3.744825
